GitHub Quantum Projects Search Summary
========================================
Summary generated on: 2026-05-02 12:05:39

--- Overall Statistics ---
Total unique projects found (candidates): 666
Projects filtered out:                    590
pqb-mb/mi_entanglement_tdc                                                                                  Not enough stars (0 < 30)
PranithChowdary/QuantumLeap                                                                                 Not enough stars (0 < 30)
Prashik123/Protein_folding-Variational_Algo-Qiskit                                                          Not enough stars (0 < 30)
primaryobjects/flying-unicorn                                                                               Not enough stars (2 < 30)
primaryobjects/oracle                                                                                       Not enough stars (15 < 30)
primaryobjects/quantum                                                                                      Not enough stars (15 < 30)
PsiQ/qref                                                                                                   Not enough contributors (9 < 10)
pykao/QuantumMolGAN-PyTorch                                                                                 Not enough stars (28 < 30)
pyRiemann/pyRiemann-qiskit                                                                                  Not enough contributors (8 < 10)
q-inho/qave                                                                                                 Not enough stars (2 < 30)
q-optimize/c3                                                                                               Inactive since 2024-03-05
QANTLabs/QMTLib                                                                                             Not enough stars (0 < 30)
qBraid/pyqasm                                                                                               Not enough stars (26 < 30)
QCFD-Lab/qlbm                                                                                               Not enough stars (26 < 30)
qdevpsi3/qml-qcnn                                                                                           Not enough stars (3 < 30)
qdevpsi3/qrl-dqn-gym                                                                                        Inactive since 2023-03-15
qdevpsi3/quantum-arch-search                                                                                Inactive since 2021-04-22
qdevpsi3/quantum-nearest-classifier                                                                         Not enough stars (4 < 30)
qDNA-yonsei/qdna-lib                                                                                        Not enough stars (3 < 30)
qec-codes/qec                                                                                               Not enough stars (25 < 30)
QECLabs/QEC_on_ArXiv                                                                                        Not enough stars (0 < 30)
qecsim/qecsim                                                                                               Inactive since 2021-08-05
qecsim/qecsimext                                                                                            Not enough stars (2 < 30)
qernelkit/qgc-server                                                                                        Not enough stars (3 < 30)
QFold-Thesis/quantum-protein-folding                                                                        Not enough stars (4 < 30)
qiboteam/qibo-core                                                                                          Not enough stars (1 < 30)
qiboteam/qibojit                                                                                            Not enough stars (17 < 30)
qilimanjaro-tech/qilisdk                                                                                    Not enough stars (24 < 30)
qiskit-community/prototype-entanglement-forging                                                             Archived repository
qiskit-community/prototype-qrao                                                                             Archived repository
qiskit-community/prototype-quantum-kernel-training                                                          Inactive since 2024-03-31
qiskit-community/prototype-zne                                                                              Inactive since 2025-02-26
qiskit-community/qiskit-aqua                                                                                Archived repository
qiskit-community/qiskit-qec                                                                                 Inactive since 2025-01-27
qiskit-community/qiskit-toqm                                                                                Not enough stars (9 < 30)
qiskit-community/quantum-fragment-methods                                                                   Not enough stars (5 < 30)
qiskit-community/quantum-prototype-template                                                                 Inactive since 2024-09-11
Qiskit/qiskit-qasm3-import                                                                                  Not enough stars (27 < 30)
qiskrypt/qiskrypt                                                                                           Inactive since 2022-04-25
qlan3/QuantumExplorer                                                                                       Inactive since 2024-02-08
qmatter-labs/symmer                                                                                         Not enough contributors (9 < 10)
qontos/qontos-sim                                                                                           Not enough stars (1 < 30)
qonwaygameoflife/qonwaygameoflife                                                                           Not enough contributors (4 < 10)
QoroQuantum/divi                                                                                            Not enough stars (19 < 30)
QPong/QPong                                                                                                 Inactive since 2024-06-15
Quantinuum/guppy-gpu                                                                                        Not enough stars (1 < 30)
Quantinuum/Quixer                                                                                           Not enough contributors (2 < 10)
Quantinuum/SyQMA                                                                                            Not enough stars (8 < 30)
quantum-advantage/tetrahedral-correction                                                                    Not enough stars (0 < 30)
quantum-lichen/Lichen-Universe-Unified-V2                                                                   Not enough stars (0 < 30)
quantum-plugins/aer-plugin                                                                                  Not enough stars (0 < 30)
Quantum4HEP/QUnfold                                                                                         Not enough stars (25 < 30)
QuantumAmplification/ampamp                                                                                 Not enough stars (0 < 30)
quantumbatu/NHSS-Quantum-Computing                                                                          Not enough stars (1 < 30)
QuantumDrizzy/ARC-QRL-PEPS                                                                                  Not enough stars (0 < 30)
quantumlib/chromobius                                                                                       Not enough contributors (3 < 10)
quantumlib/OpenFermion-Cirq                                                                                 Archived repository
quantumlib/OpenFermion-PySCF                                                                                Not enough contributors (9 < 10)
QuantumSavory/pyquantumclifford                                                                             Not enough stars (2 < 30)
quarktetra23/pre-stock-qnn                                                                                  Not enough stars (0 < 30)
qubit-science-club/quantum_reinforcement_learning                                                           Not enough stars (20 < 30)
qubitpage/QuBIOS                                                                                            Not enough stars (0 < 30)
qucontrol/krotov                                                                                            Inactive since 2025-02-25
QuEraComputing/tsim                                                                                         Not enough contributors (5 < 10)
Qulacs-Osaka/qulacs-visualizer                                                                              Not enough stars (11 < 30)
Qulacs-Osaka/scikit-qulacs                                                                                  Not enough stars (25 < 30)
quprep/quprep                                                                                               Not enough stars (1 < 30)
QuSTaR/kaleidoscope                                                                                         Not enough stars (25 < 30)
QutacQuantum/effective_inequality_embedding                                                                 Not enough stars (2 < 30)
Qyusu/astronaut                                                                                             Not enough stars (4 < 30)
Qyusu/qxmt                                                                                                  Not enough stars (6 < 30)
R-D-BioTech-Alaska/Qelm                                                                                     Not enough stars (26 < 30)
Rachit1980/EQST-GP-thory                                                                                    Not enough stars (0 < 30)
RafeyIqbalRahman/Quantum-Teleportation                                                                      Not enough stars (3 < 30)
RahulBailur/IQFT-                                                                                           Not enough stars (0 < 30)
rasidi3112/Advanced-Quantum-App                                                                             Not enough stars (3 < 30)
rasidi3112/Q-Edge                                                                                           Not enough stars (5 < 30)
rasidi3112/Quantum-GAN                                                                                      Not enough stars (5 < 30)
rbnx/skewboost                                                                                              Not enough stars (8 < 30)
redx94/QuantumAI                                                                                            Not enough stars (5 < 30)
rigetti/forest-benchmarking                                                                                 Inactive since 2024-10-18
rigetti/forest-openfermion                                                                                  Inactive since 2021-11-30
rigetti/grove                                                                                               Inactive since 2021-12-02
rigetti/quantumflow                                                                                         Inactive since 2019-06-03
rigetti/reference-qvm                                                                                       Archived repository
ritu-thombre99/QHack-2022-Coding-Challenge-Solutions                                                        Not enough stars (3 < 30)
ritu-thombre99/QNim-App                                                                                     Not enough stars (12 < 30)
rmdocherty/pyramaterised                                                                                    Not enough stars (1 < 30)
roberto-fernandez-barrios/kernel_shift_framework                                                            Not enough stars (1 < 30)
RohanGautam/storeQ                                                                                          Not enough stars (4 < 30)
rohit250799/QuantSim-Toolkit                                                                                Not enough stars (0 < 30)
RooDunnill/quancirc                                                                                         Not enough stars (1 < 30)
rossy-awan/quantum-computing                                                                                Not enough stars (0 < 30)
rpathai7-netizen/Quantum-Experiment                                                                         Not enough stars (0 < 30)
RQC-QApp/QuantumComputingBot                                                                                Not enough stars (22 < 30)
RQM-Technologies-dev/rqm-optimize                                                                           Not enough stars (0 < 30)
RQM-Technologies-dev/rqm-qiskit                                                                             Not enough stars (0 < 30)
RsGoksel/quantum-encoding-nlp                                                                               Not enough stars (0 < 30)
rubenguevara/QuantumMachineLearning                                                                         Not enough stars (1 < 30)
rubenvanstaden/spira                                                                                        Not enough stars (18 < 30)
Rubo3/qsim                                                                                                  Not enough stars (0 < 30)
ruiyangzhou01/qml-classification-protocol                                                                   Not enough stars (3 < 30)
rxnew/tqec                                                                                                  Not enough stars (0 < 30)
SaashaJoshi/piQture                                                                                         Not enough contributors (9 < 10)
Sacraniea/BraTS_QML_Segmentation                                                                            Not enough stars (0 < 30)
sahajrajmalla/Quantum-Neural-Networks-Binary-Classification                                                 Not enough stars (2 < 30)
Samantha-norrie/QNotation                                                                                   Not enough stars (5 < 30)
samn33/qlazy                                                                                                Not enough stars (23 < 30)
samvardhan03/Quantum-Enhanced-Smart-Computing-Framework-for-Sustainable-Credit-Risk-Decision-Communication  Not enough stars (2 < 30)
sanketsh4h/enhanceQRC                                                                                       Not enough stars (1 < 30)
Sarhamam/QubitSimulator                                                                                     Not enough stars (0 < 30)
satwiksps/quantum-mlops-pipeline                                                                            Not enough stars (3 < 30)
seif-007/Quantum_Long_Short_Term_Memory                                                                     Not enough stars (1 < 30)
seokhyung-lee/ConcatMatching                                                                                Not enough stars (4 < 30)
seokhyung-lee/msd-magic-state-prep-cycle-simulation                                                         Not enough stars (1 < 30)
seokhyung-lee/tesseract-python                                                                              Not enough stars (3 < 30)
seokjw0727/2026-KPS-Spring-Meeting                                                                          Not enough stars (0 < 30)
sequencing-dev/sequencing                                                                                   Not enough stars (14 < 30)
serkosi/quantum-entanglement                                                                                Not enough stars (0 < 30)
shubhamchandak94/stabilizer_code                                                                            Not enough stars (10 < 30)
shubhamkaushal765/TransformerQEC                                                                            Not enough stars (6 < 30)
SidRichardsQuantum/Shors_Algorithm_Simulation                                                               Not enough stars (0 < 30)
SidRichardsQuantum/Variational_Quantum_Eigensolver                                                          Not enough stars (1 < 30)
SimoneGasperini/pauliprop-sim                                                                               Not enough stars (0 < 30)
SomnathRoy123/BEC-dynamics-simulation                                                                       Not enough stars (0 < 30)
SourangshuGhosh/QuantumComputing                                                                            Not enough stars (4 < 30)
sradgowski/qaoa-redesign                                                                                    Not enough stars (0 < 30)
steinbrecher/bosonic                                                                                        Not enough stars (29 < 30)
Sulkysubject37/quantum-fold                                                                                 Not enough stars (0 < 30)
sxzgroup/quantum-plasticity                                                                                 Not enough stars (2 < 30)
sylvesterkaczmarek/nvidia-quantum-hybrid                                                                    Not enough stars (28 < 30)
taiypeo/Quantum                                                                                             Not enough stars (1 < 30)
tandeitnik/Evolving_Quantum_Circuits                                                                        Not enough stars (7 < 30)
Tangy-Cheese/Coined_Quantum_Walks                                                                           Not enough stars (3 < 30)
Tangy-Cheese/Quantum_Battleships                                                                            Not enough stars (4 < 30)
tanlin2013/tnpy                                                                                             Not enough stars (3 < 30)
taoq-ai/qkd-playground                                                                                      Not enough stars (1 < 30)
tcNickolas/quantum-programming-in-depth                                                                     Excluded by Keyword 'book' in name/description
tencent-quantum-lab/TenCirChem                                                                              Not enough contributors (3 < 10)
tensorcircuit/TenCirChem-NG                                                                                 Not enough stars (9 < 30)
tensorly/quantum                                                                                            Inactive since 2023-06-07
terrordayvg/Authentication-of-QKD                                                                           Not enough stars (1 < 30)
thekripaverse/QuantumAlgorithms                                                                             Not enough stars (0 < 30)
thiagorgs/qnn-qiskit-ml                                                                                     Not enough stars (0 < 30)
thiagorgs/quantum-assisted-simulator                                                                        Not enough stars (0 < 30)
thiagosilvahyper/zbit                                                                                       Not enough stars (0 < 30)
tiagomsleao/ShorAlgQiskit                                                                                   Inactive since 2019-03-02
TilenLS/QuLIP                                                                                               Not enough stars (0 < 30)
timchan0/qrmfold                                                                                            Not enough stars (3 < 30)
TimeDelta/q-vs-c_enc_dec_nonstationary                                                                      Not enough stars (0 < 30)
tlcagford/Quantum-Shield-Orbital-Defense-System                                                             Not enough stars (1 < 30)
TNO-Quantum/ml.classifiers.vc                                                                               Not enough stars (7 < 30)
tomiock/quantum-GAN                                                                                         Not enough stars (10 < 30)
TommasoGalletti/TN_quantum_simulation                                                                       Not enough stars (1 < 30)
ToroData/Quantum-Database-Architecture-for-the-Quantum-Data-Scientist-Thesis                                Not enough stars (0 < 30)
towynlin/quantum-max-qosf                                                                                   Not enough stars (0 < 30)
tqec/topologiq                                                                                              Not enough contributors (1 < 10)
turingsecurity/QMR                                                                                          Not enough stars (8 < 30)
umran-n/QCA                                                                                                 Not enough stars (0 < 30)
UniPG-KitLab/VQE-PFSP                                                                                       Not enough stars (3 < 30)
valeriolombardi/quantum-grover-explained                                                                    Not enough stars (1 < 30)
vbelis/latent-ad-qml                                                                                        Not enough stars (20 < 30)
videlanicolas/QKD                                                                                           Archived repository
VincentGurgul/qrl-dpo-public                                                                                Not enough stars (2 < 30)
vinerya/quantum_forge                                                                                       Not enough stars (2 < 30)
vipmahesh/quantum                                                                                           Not enough stars (1 < 30)
vladimirdabic/quipy                                                                                         Not enough stars (0 < 30)
watermarkhu/qsurface                                                                                        Not enough contributors (3 < 10)
WooSangyoon/QuantumMarioBros                                                                                Not enough stars (0 < 30)
XalbertoXX/agarcisr-TFG                                                                                     Not enough stars (1 < 30)
XanaduAI/constrained-quantum-learning                                                                       Not enough stars (22 < 30)
XanaduAI/flamingpy                                                                                          Archived repository
XanaduAI/QHack2022                                                                                          Archived repository
XanaduAI/QMLT                                                                                               Archived repository
XanaduAI/quantum-neural-networks                                                                            Inactive since 2023-03-24
XanaduAI/SFOpenBoson                                                                                        Inactive since 2023-07-06
XanaduAI/strawberryfields                                                                                   Archived repository
xiaoyu2018/QuantumCnn-NetworkAttackDetection                                                                Inactive since 2022-01-27
yazhsab/open-quantum-AI-for-legal-reasoning                                                                 Not enough stars (1 < 30)
ycchen1989/Quantum_Long_Short_Term_Memory                                                                   Not enough stars (7 < 30)
ycchen1989/Var-QuantumCircuits-DeepRL                                                                       Inactive since 2021-04-12
yeray142/quantum-nerf                                                                                       Not enough stars (1 < 30)
yezhuoyang/ScaLERQEC                                                                                        Not enough stars (12 < 30)
yifan1207/Quantum-Based-Machine-Learning-Simulation                                                         Inactive since 2024-11-07
YohanLiebert0/QSOT-Compiler                                                                                 Not enough stars (0 < 30)
zapatacomputing/cusp_cirq_demo                                                                              Inactive since 2018-07-31
ZekiZeybek/SimQC-TTN                                                                                        Not enough stars (4 < 30)
zhaoweizhong/QFide                                                                                          Not enough stars (1 < 30)
zhenhouhong/QSpeech                                                                                         Not enough stars (6 < 30)
zhiihan/ClusterSim                                                                                          Not enough stars (0 < 30)
zhuming15/HSI2011-The-World-of-Quantum                                                                      Not enough stars (4 < 30)
zlatko-minev/zlatko-minev-quantum-repository                                                                Excluded by Keyword 'tutorial' in name/description
zoharno/chamon_decoder                                                                                      Not enough stars (0 < 30)

--- Final Considered Projects (Top 76) ---
1. Qiskit/qiskit
2. quantumlib/Cirq
3. PennyLaneAI/pennylane
4. tensorflow/quantum
5. qutip/qutip
6. quantumlib/OpenFermion
7. mit-han-lab/torchquantum
8. rigetti/pyquil
9. openqasm/openqasm
10. qiskit-community/qiskit-machine-learning
11. ProjectQ-Framework/ProjectQ
12. AgnostiqHQ/covalent
13. jcmgray/quimb
14. dwavesystems/dwave-ocean-sdk
15. unitaryfoundation/mitiq
16. discopy/discopy
17. qiskit-community/qiskit-metal
18. blueqat/blueqatSDK
19. usnistgov/jarvis
20. qiskit-community/qiskit-nature
21. amazon-braket/amazon-braket-sdk-python
22. tqec/tqec
23. qiboteam/qibo
24. tencent-quantum-lab/tensorcircuit
25. quantumlib/Qualtran
26. qiskit-community/qiskit-finance
27. quantumlib/ReCirq
28. qiskit-community/qiskit-optimization
29. vprusso/toqito
30. eclipse-qrisp/Qrisp
31. open-quantum-safe/liboqs-python
32. pasqal-io/Pulser
33. PennyLaneAI/catalyst
34. munich-quantum-toolkit/qecc
35. zlatko-minev/pyEPR
36. Quandela/Perceval
37. iqm-finland/KQCircuits
38. qiskit-community/qiskit-experiments
39. PIQuIL/QuCumber
40. Qiskit/ecosystem
41. sandbox-quantum/Tangelo
42. oqtopus-team/oqtopus-cloud
43. Quantinuum/guppylang
44. nikolasibalic/ARC-Alkali-Rydberg-Calculator
45. Infleqtion/client-superstaq
46. munich-quantum-toolkit/bench
47. amazon-braket/amazon-braket-algorithm-library
48. Qiskit/qiskit-serverless
49. qBraid/qBraid
50. XanaduAI/thewalrus
51. TeamGraphix/graphix
52. sQUlearn/squlearn
53. Qiskit/qiskit-addon-cutting
54. XanaduAI/MrMustard
55. dwavesystems/dwave-system
56. QuEraComputing/bloqade-analog
57. quantumlib/OpenFermion-Psi4
58. pasqal-io/qadence
59. Qiskit/qiskit-addon-sqd
60. munich-quantum-toolkit/predictor
61. amazon-braket/qiskit-braket-provider
62. awslabs/quantum-computing-exploration-for-drug-discovery-on-aws
63. tensorcircuit/tensorcircuit-ng
64. errorcorrectionzoo/eczoo_data
65. quantumlib/OpenFermion-FQE
66. PennyLaneAI/pennylane-cirq
67. Budapest-Quantum-Computing-Group/piquasso
68. qiboteam/qibolab
69. Deltakit/deltakit
70. pasqal-io/pyqtorch
71. PennyLaneAI/pennylane-rigetti
72. Qiskit/qiskit-addon-obp
73. qclib/qclib
74. qiboteam/qibocal
75. BBN-Q/QGL
76. unitaryfoundation/metriq-gym

========================================
End of Summary
