framework,name,summary,pattern
qiskit,arithmetic.weighted_adder.WeightedSumGate,A gate to compute the weighted sum of qubit registers.,Quantum Arithmetic
qiskit,basis_change.qft.QFT,Quantum Fourier Transform Circuit.,Basis Change
qiskit,basis_change.qft.QFTGate,Quantum Fourier Transform Gate.,Basis Change
qiskit,bit_flip_oracle.BitFlipOracleGate,Implements a bit-flip oracle,Oracle
qiskit,blueprintcircuit.BlueprintCircuit,Blueprint circuit object.,Circuit Construction Utility
qiskit,boolean_logic.inner_product.InnerProductGate,A 2n-qubit Boolean function that computes the inner product of two n-qubit vectors over :math:`F_2`.,Quantum Logical Operators
qiskit,boolean_logic.quantum_and.AND,A circuit implementing the logical AND operation on a number of qubits.,Quantum Logical Operators
qiskit,boolean_logic.quantum_and.AndGate,A gate representing the logical AND operation on a number of qubits.,Quantum Logical Operators
qiskit,boolean_logic.quantum_or.OR,A circuit implementing the logical OR operation on a number of qubits.,Quantum Logical Operators
qiskit,boolean_logic.quantum_xor.BitwiseXorGate,An n-qubit gate for bitwise xor-ing the input with some integer ``amount``.,Quantum Logical Operators
qiskit,boolean_logic.quantum_xor.random_bitwise_xor,Create a random BitwiseXorGate.,Quantum Logical Operators
qiskit,data_preparation.pauli_feature_map.z_feature_map,The first order Pauli Z-evolution circuit.,Data Encoding
qiskit,data_preparation.pauli_feature_map.zz_feature_map,Second-order Pauli-Z evolution circuit.,Data Encoding
qiskit,data_preparation.initializer.Initialize,Complex amplitude initialization.,Initialization
qiskit,data_preparation.pauli_feature_map.PauliFeatureMap,The Pauli Expansion circuit.,Data Encoding
qiskit,data_preparation.state_preparation.StatePreparation,Complex amplitude state preparation.,Initialization
qiskit,data_preparation.state_preparation.UniformSuperpositionGate,Implements a uniform superposition state.,Basis Change
qiskit,fourier_checking.FourierChecking,Fourier checking circuit.,Circuit Construction Utility
qiskit,generalized_gates.diagonal.Diagonal,Circuit implementing a diagonal transformation.,Circuit Construction Utility
qiskit,generalized_gates.diagonal.DiagonalGate,A generic diagonal quantum gate.,Circuit Construction Utility
qiskit,generalized_gates.gms.GMS,Global Mølmer–Sørensen gate.,Circuit Construction Utility
qiskit,generalized_gates.gms.MSGate,The Mølmer–Sørensen gate.,Circuit Construction Utility
qiskit,generalized_gates.gr.GR,Global R gate.,Circuit Construction Utility
qiskit,generalized_gates.gr.GRX,Global RX gate.,Circuit Construction Utility
qiskit,generalized_gates.gr.GRY,Global RY gate.,Circuit Construction Utility
qiskit,generalized_gates.gr.GRZ,Global RZ gate.,Circuit Construction Utility
qiskit,generalized_gates.isometry.Isometry,Decomposition of arbitrary isometries from :math:`m` to :math:`n` qubits.,Circuit Construction Utility
qiskit,generalized_gates.linear_function.LinearFunction,A linear reversible circuit on n qubits.,Circuit Construction Utility
qiskit,generalized_gates.mcg_up_to_diagonal.MCGupDiag,Decomposes a multi-controlled gate :math:`U` up to a diagonal :math:`D`.,Circuit Construction Utility
qiskit,generalized_gates.mcmt.MCMTGate,"The multi-controlled multi-target gate, for an arbitrary singly controlled target gate.",Circuit Construction Utility
qiskit,generalized_gates.mcmt.MCMTVChain,The MCMT implementation using the CCX V-chain.,Circuit Construction Utility
qiskit,generalized_gates.pauli.PauliGate,A multi-qubit Pauli gate.,Circuit Construction Utility
qiskit,generalized_gates.permutation.Permutation,An n_qubit circuit that permutes qubits.,Circuit Construction Utility
qiskit,generalized_gates.permutation.PermutationGate,A gate that permutes qubits.,Circuit Construction Utility
qiskit,generalized_gates.rv.RVGate,Rotation around arbitrary rotation axis.,Circuit Construction Utility
qiskit,generalized_gates.uc.UCGate,Uniformly controlled gate (also called multiplexed gate).,Circuit Construction Utility
qiskit,generalized_gates.uc_pauli_rot.UCPauliRotGate,Uniformly controlled Pauli rotations.,Circuit Construction Utility
qiskit,generalized_gates.ucrz.UCRZGate,Uniformly controlled Pauli-Z rotations.,Circuit Construction Utility
qiskit,generalized_gates.unitary.UnitaryGate,Class quantum gates specified by a unitary matrix.,Circuit Construction Utility
qiskit,graph_state.GraphState,Circuit to prepare a graph state.,Circuit Construction Utility
qiskit,graph_state.GraphStateGate,A gate representing a graph state.,Circuit Construction Utility
qiskit,grover_operator.GroverOperator,The Grover operator.,Grover
qiskit,hamiltonian_gate.HamiltonianGate,Class for representing evolution by a Hamiltonian operator as a gate.,Circuit Construction Utility
qiskit,hidden_linear_function.HiddenLinearFunction,Circuit to solve the hidden linear function problem.,Oracle
qiskit,iqp.IQP,Instantaneous quantum polynomial (IQP) circuit.,Circuit Construction Utility
qiskit,iqp.random_iqp,A random instantaneous quantum polynomial time (IQP) circuit.,Circuit Construction Utility
qiskit,n_local.efficient_su2.EfficientSU2,The hardware efficient SU(2) 2-local circuit.,Variational Quantum Algorithm (VQA)
qiskit,n_local.evolved_operator_ansatz.hamiltonian_variational_ansatz,Construct a Hamiltonian variational ansatz.,Circuit Construction Utility
qiskit,n_local.evolved_operator_ansatz.EvolvedOperatorAnsatz,The evolved operator ansatz.,Variational Quantum Algorithm (VQA)
qiskit,n_local.excitation_preserving.ExcitationPreserving,The heuristic excitation-preserving wave function ansatz.,Variational Quantum Algorithm (VQA)
qiskit,n_local.n_local.NLocal,The n-local circuit class.,Variational Quantum Algorithm (VQA)
qiskit,n_local.pauli_two_design.PauliTwoDesign,The Pauli Two-Design ansatz.,Variational Quantum Algorithm (VQA)
qiskit,n_local.qaoa_ansatz.QAOAAnsatz,A generalized QAOA quantum circuit with a support of custom initial states and mixers.,Quantum Approximate Optimization Algorithm (QAOA)
qiskit,n_local.real_amplitudes.RealAmplitudes,The real-amplitudes 2-local circuit.,Variational Quantum Algorithm (VQA)
qiskit,n_local.two_local.TwoLocal,The two-local circuit.,Variational Quantum Algorithm (VQA)
qiskit,overlap.UnitaryOverlap,Circuit that returns the overlap between two unitaries.,Circuit Construction Utility
qiskit,pauli_evolution.PauliEvolutionGate,Time-evolution of an operator consisting of Paulis.,Hamiltonian Simulation
qiskit,phase_estimation.PhaseEstimation,Phase Estimation circuit.,Quantum Phase Estimation (QPE)
qiskit,phase_oracle.PhaseOracle,Phase Oracle.,Oracle
qiskit,phase_oracle.PhaseOracleGate,Implements a phase oracle.,Oracle
qiskit,quantum_volume.QuantumVolume,A quantum volume model circuit.,Circuit Construction Utility
